date,ranking,title,writer,press,kategorie
202205,15,인플레이션에서 살아남기,오건영 지음,페이지2(page2),경제경영
202206,15,우리 아기 오감발달 동물농장 사운드북,"샘 태플린 지음, 페데리카 아이오사 그림",어스본코리아,유아
202207,15,마법천자문 53,"유대영 지음, 홍거북 그림, 김창환 감수",아울북,어린이
202208,15,트로피컬 나이트,조예은 지음,한겨레출판,소설/시/희곡
202209,15,설민석의 한국사 대모험 22,"설민석.스토리박스 지음, 정현희 그림, 강석화 감수",단꿈아이,어린이
202210,15,가녀장의 시대,이슬아 지음,이야기장수,소설/시/희곡
202401,16,맡겨진 소녀,클레어 키건 ,다산책방,소설/시/희곡
202402,16,퓨처 셀프,"벤저민 하디 지음, 최은아 옮김",상상스퀘어,자기계발
202403,16,맡겨진 소녀,"클레어 키건 지음, 허진 옮김",다산책방,소설/시/희곡
202301,16,슬램덩크 신장재편판 16,이노우에 타케히코 지음,대원씨아이(만화),만화
202302,16,슬램덩크 신장재편판 17,이노우에 타케히코 지음,대원씨아이(만화),만화
202303,16,조셉 머피 잠재의식의 힘,"조셉 머피 지음, 조율리 옮김",다산북스,자기계발
202304,16,모든 삶은 흐른다,"로랑스 드빌레르 지음, 이주영 옮김",FIKA(피카),인문학
202305,16,2023 제14회 젊은작가상 수상작품집,이미상 외 지음,문학동네,소설/시/희곡
202306,16,사장학개론,김승호 지음,스노우폭스북스,경제경영
202307,16,해커스 토익 기출 VOCA (보카),David Cho 지음,해커스어학연구소(Hackers),외국어
202308,16,오펜하이머 각본집,"크리스토퍼 놀란 지음, 김은주 옮김",허블,예술/대중문화
202309,16,트렌드 코리아 2024,김난도 외 지음,미래의창,경제경영
202310,16,흔한남매 14,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,어린이
202311,16,김대리의 데일리 뜨개,바늘이야기 김대리 지음,웅진리빙하우스,건강/취미
202312,16,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다,송민섭(수페TV) 지음,21세기북스,경제경영
